city,state,total_rows,pass_i1,pass_i3,pass_i4,ready,meets_threshold,pages_unlocked,filters
"Jacksonville",FL,55,54,54,55,53,true,59,"indoor outdoor free public lights"
"Seattle",WA,63,63,53,63,53,true,59,"indoor outdoor free public lights"
"Sacramento",CA,55,51,55,55,51,true,56,"indoor outdoor free public"
"Lincoln",NE,51,51,49,51,49,true,55,"indoor outdoor free public lights"
"Atlanta",GA,55,52,49,55,46,true,52,"indoor outdoor free public lights"
"Charlotte",NC,50,48,47,50,45,true,51,"indoor outdoor free public lights"
"Indianapolis",IN,46,46,44,46,44,true,50,"indoor outdoor free public lights"
"Honolulu",HI,43,43,43,43,43,true,49,"indoor outdoor free public lights"
"Wichita",KS,46,43,46,46,43,true,48,"indoor outdoor public lights"
"Portland",OR,51,51,42,51,42,true,48,"indoor outdoor free public lights"
"Houston",TX,54,51,44,54,41,true,47,"indoor outdoor free public lights"
"San Francisco",CA,39,39,39,39,39,true,45,"indoor outdoor free public lights"
"Denver",CO,45,43,41,45,39,true,45,"indoor outdoor free public lights"
"Omaha",NE,41,39,40,41,38,true,44,"indoor outdoor free public lights"
"San Diego",CA,39,39,37,39,37,true,43,"indoor outdoor free public lights"
"Washington",DC,36,36,36,36,36,true,42,"indoor outdoor free public lights"
"The Villages",FL,39,39,38,39,38,true,41,"outdoor public"
"Tucson",AZ,37,36,36,37,35,true,41,"indoor outdoor free public lights"
"Naples",FL,38,37,36,38,35,true,40,"indoor outdoor public lights"
"Las Vegas",NV,41,40,35,41,34,true,40,"indoor outdoor free public lights"
"Austin",TX,45,41,36,45,34,true,40,"indoor outdoor free public lights"
"Boise",ID,36,35,36,36,35,true,39,"indoor outdoor public"
"Madison",WI,37,36,34,37,33,true,38,"indoor outdoor public lights"
"Knoxville",TN,34,33,33,34,32,true,38,"indoor outdoor free public lights"
"Dallas",TX,43,41,34,43,32,true,38,"indoor outdoor free public lights"
"Colorado Springs",CO,34,32,33,34,31,true,37,"indoor outdoor free public lights"
"Alexandria",VA,31,30,31,31,30,true,36,"indoor outdoor free public lights"
"Spokane",WA,30,30,29,30,29,true,35,"indoor outdoor free public lights"
"Mesa",AZ,32,32,30,32,30,true,34,"outdoor public lights"
"Phoenix",AZ,31,31,28,31,28,true,34,"indoor outdoor free public lights"
"St. Louis",MO,30,30,28,30,28,true,34,"indoor outdoor free public lights"
"Roanoke",VA,28,28,28,28,28,true,34,"indoor outdoor free public lights"
"Aurora",CO,28,27,27,28,26,true,30,"indoor outdoor public"
"Fort Worth",TX,28,28,25,28,25,true,30,"indoor outdoor public lights"
"Louisville",KY,31,30,25,31,24,true,30,"indoor outdoor free public lights"
"San Antonio",TX,29,29,24,29,24,true,30,"indoor outdoor free public lights"
"Charlottesville",VA,25,24,24,25,24,true,29,"indoor outdoor public lights"
"Fort Wayne",IN,26,23,26,26,23,true,29,"indoor outdoor free public lights"
"Marietta",GA,24,24,24,24,24,true,28,"indoor outdoor public"
"Des Moines",IA,25,24,25,25,24,true,28,"indoor outdoor public"
"Nashville",TN,28,28,23,28,23,true,28,"indoor outdoor public lights"
"Appleton",WI,25,24,24,25,23,true,28,"indoor outdoor public lights"
"Virginia Beach",VA,23,23,22,23,22,true,28,"indoor outdoor free public lights"
"Raleigh",NC,24,24,21,24,21,true,27,"indoor outdoor free public lights"
"Richmond",VA,23,23,21,23,21,true,27,"indoor outdoor free public lights"
"Lewes",DE,22,22,22,22,22,true,26,"indoor outdoor public"
"Frederick",MD,24,24,22,24,22,true,26,"indoor outdoor public"
"St. Petersburg",FL,22,21,21,22,20,true,26,"indoor outdoor free public lights"
"Chicago",IL,22,21,21,22,20,true,26,"indoor outdoor free public lights"
"Melbourne",FL,20,20,20,20,20,true,25,"indoor outdoor public lights"
"Reno",NV,20,20,20,20,20,true,25,"indoor outdoor public lights"
"Tulsa",OK,20,20,20,20,20,true,25,"indoor outdoor public lights"
"Elk Grove",CA,21,21,19,21,19,true,25,"indoor outdoor free public lights"
"Springfield",MO,19,19,19,19,19,true,25,"indoor outdoor free public lights"
"Pittsburgh",PA,19,19,19,19,19,true,25,"indoor outdoor free public lights"
"Palm Desert",CA,20,19,19,20,19,true,24,"outdoor free public lights"
"Orlando",FL,23,23,19,23,19,true,24,"indoor outdoor public lights"
"Philadelphia",PA,20,20,19,20,19,true,24,"indoor outdoor public lights"
"Lexington",KY,22,21,19,22,18,true,24,"indoor outdoor free public lights"
"Asheville",NC,18,18,18,18,18,true,24,"indoor outdoor free public lights"
"Albuquerque",NM,21,20,19,21,18,true,24,"indoor outdoor free public lights"
"San Jose",CA,22,22,19,22,19,true,23,"outdoor free public"
"Anchorage",AK,23,19,22,23,18,true,23,"indoor outdoor free public"
"Ocala",FL,19,19,18,19,18,true,23,"indoor outdoor public lights"
"Columbus",OH,18,18,18,18,18,true,23,"indoor outdoor public lights"
"Vancouver",WA,24,24,18,24,18,true,23,"indoor outdoor public lights"
"Tampa",FL,17,17,17,17,17,true,23,"indoor outdoor free public lights"
"Cincinnati",OH,20,20,17,20,17,true,23,"indoor outdoor free public lights"
"Wilmington",DE,19,19,18,19,18,true,22,"indoor outdoor public"
"Boston",MA,21,21,18,21,18,true,22,"indoor outdoor public"
"Bradenton",FL,19,18,18,19,17,true,22,"indoor outdoor public lights"
"Rochester",NY,18,18,17,18,17,true,22,"indoor outdoor public lights"
"Salem",OR,18,17,18,18,17,true,22,"indoor outdoor public lights"
"Scottsdale",AZ,20,20,16,20,16,true,22,"indoor outdoor free public lights"
"Charleston",SC,17,17,16,17,16,true,22,"indoor outdoor free public lights"
"Plano",TX,18,18,16,18,16,true,22,"indoor outdoor free public lights"
"Fort Collins",CO,17,17,16,17,16,true,21,"indoor outdoor public lights"
"Carmel",IN,16,16,16,16,16,true,21,"indoor outdoor free public"
"Rockville",MD,18,17,17,18,16,true,21,"indoor outdoor public lights"
"Silver Spring",MD,21,20,17,21,16,true,21,"indoor outdoor public lights"
"Henderson",NV,18,18,16,18,16,true,21,"outdoor free public lights"
"Bellingham",WA,16,16,16,16,16,true,21,"indoor outdoor public lights"
"Sarasota",FL,23,23,15,23,15,true,21,"indoor outdoor free public lights"
"Cary",NC,16,16,15,16,15,true,21,"indoor outdoor free public lights"
"Tacoma",WA,16,15,16,16,15,true,21,"indoor outdoor free public lights"
"Miami",FL,17,17,17,17,17,true,20,"outdoor public"
"Huntsville",AL,25,18,23,25,16,true,20,"indoor outdoor public"
"Boynton Beach",FL,17,17,16,17,16,true,20,"indoor outdoor lights"
"Fort Myers",FL,17,17,16,17,16,true,20,"outdoor public lights"
"Nampa",ID,16,16,16,16,16,true,20,"indoor outdoor public"
"Minneapolis",MN,16,16,16,16,16,true,20,"indoor outdoor public"
"Gainesville",FL,19,17,17,19,15,true,20,"indoor outdoor public lights"
"Baton Rouge",LA,16,15,16,16,15,true,20,"indoor outdoor free public"
"New York",NY,17,15,17,17,15,true,20,"indoor outdoor public lights"
"Myrtle Beach",SC,15,15,15,15,15,true,20,"indoor outdoor public lights"
"Peoria",AZ,15,15,15,15,15,true,19,"indoor outdoor public"
"Roseville",CA,17,17,15,17,15,true,19,"indoor outdoor public"
"Baltimore",MD,15,15,15,15,15,true,19,"outdoor free public"
"Littleton",CO,15,15,14,15,14,true,19,"indoor outdoor public lights"
"Cedar Rapids",IA,16,15,15,16,14,true,19,"indoor outdoor free public"
"Klamath Falls",OR,14,14,14,14,14,true,19,"indoor outdoor public lights"
"Sioux Falls",SD,14,14,14,14,14,true,19,"indoor outdoor public lights"
"The Woodlands",TX,16,16,14,16,14,true,19,"indoor outdoor public lights"
"Orem",UT,16,15,15,16,14,true,19,"indoor outdoor public lights"
"Lynchburg",VA,16,15,15,16,14,true,19,"indoor outdoor public lights"
"Greensboro",NC,14,13,14,14,13,true,19,"indoor outdoor free public lights"
"Medford",OR,14,14,13,14,13,true,19,"indoor outdoor free public lights"
"El Paso",TX,19,18,14,19,13,true,19,"indoor outdoor free public lights"
"Meridian",ID,15,14,15,15,14,true,18,"indoor outdoor public"
"Newark",DE,15,14,14,15,13,true,18,"indoor outdoor free public"
"Tallahassee",FL,14,14,13,14,13,true,18,"indoor outdoor public lights"
"Poughkeepsie",NY,13,13,13,13,13,true,18,"indoor outdoor public lights"
"Arlington",TX,16,15,14,16,13,true,18,"indoor outdoor public lights"
"Katy",TX,17,17,13,17,13,true,18,"indoor outdoor public lights"
"Oshkosh",WI,14,13,14,14,13,true,18,"indoor outdoor public lights"
"Durham",NC,14,13,13,14,12,true,18,"indoor outdoor free public lights"
"Akron",OH,12,12,12,12,12,true,18,"indoor outdoor free public lights"
"Canton",OH,13,13,12,13,12,true,18,"indoor outdoor free public lights"
"Arlington",VA,12,12,12,12,12,true,18,"indoor outdoor free public lights"
"Redmond",WA,18,18,12,18,12,true,18,"indoor outdoor free public lights"
"Green Bay",WI,12,12,12,12,12,true,18,"indoor outdoor free public lights"
"Menifee",CA,14,13,14,14,13,true,17,"outdoor free public"
"West Des Moines",IA,16,14,15,16,13,true,17,"indoor outdoor public"
"Bakersfield",CA,13,12,13,13,12,true,17,"outdoor free public lights"
"Overland Park",KS,13,13,12,13,12,true,17,"indoor outdoor public lights"
"Santa Fe",NM,12,12,12,12,12,true,17,"indoor outdoor public lights"
"Chattanooga",TN,14,13,13,14,12,true,17,"indoor outdoor public lights"
"Corpus Christi",TX,18,17,13,18,12,true,17,"indoor outdoor public lights"
"Salt Lake City",UT,12,12,12,12,12,true,17,"indoor outdoor public lights"
"Manassas",VA,16,16,12,16,12,true,17,"indoor outdoor public lights"
"Birmingham",AL,13,12,12,13,11,true,17,"indoor outdoor free public lights"
"Columbia",SC,12,12,11,12,11,true,17,"indoor outdoor free public lights"
"Amarillo",TX,13,12,12,13,11,true,17,"indoor outdoor free public lights"
"St. Augustine",FL,13,13,13,13,13,true,16,"outdoor public"
"Flagstaff",AZ,13,12,13,13,12,true,16,"indoor outdoor public"
"Venice",FL,12,12,12,12,12,true,16,"indoor outdoor public"
"Cartersville",GA,12,12,12,12,12,true,16,"indoor outdoor public"
"Bloomington",IL,12,12,12,12,12,true,16,"indoor outdoor public"
"Green Valley",AZ,11,11,11,11,11,true,16,"outdoor free public lights"
"Yuma",AZ,12,12,11,12,11,true,16,"outdoor free public lights"
"Annapolis",MD,11,11,11,11,11,true,16,"indoor outdoor public lights"
"Columbia",MD,11,11,11,11,11,true,16,"indoor outdoor public lights"
"Cornelius",NC,14,13,12,14,11,true,16,"indoor outdoor public lights"
"Springfield",OH,11,11,11,11,11,true,16,"indoor outdoor public lights"
"Lancaster",PA,11,11,11,11,11,true,16,"indoor outdoor public lights"
"Mechanicsburg",PA,11,11,11,11,11,true,16,"outdoor free public lights"
"Memphis",TN,12,11,12,12,11,true,16,"indoor free public lights"
"Fredericksburg",VA,11,11,11,11,11,true,16,"indoor outdoor public lights"
"Bellevue",WA,24,23,12,24,11,true,16,"indoor outdoor public lights"
"Wheeling",WV,11,11,11,11,11,true,16,"indoor outdoor public lights"
"Apex",NC,10,10,10,10,10,true,16,"indoor outdoor free public lights"
"Chapel Hill",NC,10,10,10,10,10,true,16,"indoor outdoor free public lights"
"Las Cruces",NM,10,10,10,10,10,true,16,"indoor outdoor free public lights"
"Corvallis",OR,11,10,11,11,10,true,16,"indoor outdoor free public lights"
"Eugene",OR,12,11,11,12,10,true,16,"indoor outdoor free public lights"
"Logan",UT,12,10,12,12,10,true,16,"indoor outdoor free public lights"
"Peoria",IL,11,11,11,11,11,true,15,"indoor outdoor public"
"Ann Arbor",MI,11,11,11,11,11,true,15,"indoor outdoor public"
"Grand Rapids",MI,11,11,11,11,11,true,15,"indoor outdoor public"
"Muskegon County",MI,11,11,11,11,11,true,15,"indoor outdoor public"
"Wilmington",NC,14,14,11,14,11,true,15,"outdoor public lights"
"Long Beach",CA,11,10,11,11,10,true,15,"outdoor free public lights"
"Centennial",CO,10,10,10,10,10,true,15,"indoor outdoor public lights"
"Lakewood",CO,10,10,10,10,10,true,15,"indoor outdoor public lights"
"Longmont",CO,10,10,10,10,10,true,15,"indoor outdoor public lights"
"Fishers",IN,10,10,10,10,10,true,15,"indoor outdoor free public"
"Rochester",MN,11,10,11,11,10,true,15,"indoor outdoor free public"
"Huntersville",NC,11,10,11,11,10,true,15,"indoor outdoor public lights"
"Plattsburgh",NY,11,10,11,11,10,true,15,"indoor outdoor public lights"
"Broken Arrow",OK,11,11,10,11,10,true,15,"indoor outdoor public lights"
"Oklahoma City",OK,12,10,12,12,10,true,15,"indoor outdoor public lights"
"Bend",OR,13,13,10,13,10,true,15,"indoor outdoor public lights"
"West Chester",PA,10,10,10,10,10,true,15,"indoor outdoor public lights"
"Lubbock",TX,11,10,11,11,10,true,15,"indoor outdoor public lights"
"Fairfax",VA,11,11,10,11,10,true,15,"indoor outdoor public lights"
"Norfolk",VA,11,10,11,11,10,true,15,"indoor outdoor public lights"
"Milwaukee",WI,11,11,10,11,10,true,15,"indoor outdoor public lights"
"Naperville",IL,10,10,9,10,9,true,15,"indoor outdoor free public lights"
"Irvine",CA,11,11,10,11,10,true,14,"outdoor public lights"
"Jupiter",FL,12,10,12,12,10,true,14,"indoor outdoor public"
"Owensboro",KY,11,10,11,11,10,true,14,"indoor outdoor public"
"Peabody",MA,10,10,10,10,10,true,14,"indoor outdoor public"
"Detroit",MI,10,10,10,10,10,true,14,"indoor outdoor public"
"Kansas City",MO,14,13,11,14,10,true,14,"outdoor free public"
"Brooklyn",NY,12,11,10,12,10,true,14,"indoor outdoor public"
"Erie",PA,11,10,11,11,10,true,14,"indoor outdoor public"
"Hilton Head Island",SC,13,13,10,13,10,true,14,"outdoor public lights"
"Clarksville",TN,10,10,10,10,10,true,14,"indoor public lights"
"Mobile",AL,11,10,10,11,9,true,14,"indoor outdoor public lights"
"Gilbert",AZ,10,10,9,10,9,true,14,"indoor outdoor public lights"
"Sahuarita",AZ,10,9,10,10,9,true,14,"outdoor free public lights"
"Clearwater",FL,10,10,9,10,9,true,14,"indoor outdoor public lights"
"New Smyrna Beach",FL,9,9,9,9,9,true,14,"outdoor free public lights"
"Canton",GA,9,9,9,9,9,true,14,"indoor outdoor public lights"
"Decatur",GA,9,9,9,9,9,true,14,"indoor outdoor public lights"
"Albany",OR,9,9,9,9,9,true,14,"indoor outdoor public lights"
"Summerville",SC,10,10,9,10,9,true,14,"indoor outdoor public lights"
"Burlington",VT,10,10,9,10,9,true,14,"indoor outdoor public lights"
"Kent",WA,10,10,9,10,9,true,14,"indoor outdoor public lights"
"Yucaipa",CA,11,10,11,11,10,true,13,"outdoor public"
"Rehoboth Beach",DE,10,10,10,10,10,true,13,"outdoor public"
"Delray Beach",FL,10,10,10,10,10,true,13,"outdoor public"
"Viera",FL,10,10,10,10,10,true,13,"outdoor public"
"Eagle",ID,10,10,10,10,10,true,13,"indoor outdoor"
"Traverse City",MI,10,10,10,10,10,true,13,"outdoor public"
"Decatur",AL,10,9,10,10,9,true,13,"indoor outdoor public"
"Prescott",AZ,10,9,9,10,9,true,13,"indoor outdoor lights"
"Carlsbad",CA,11,11,9,11,9,true,13,"indoor outdoor public"
"Chula Vista",CA,9,9,9,9,9,true,13,"indoor outdoor public"
"Pueblo",CO,10,10,9,10,9,true,13,"indoor outdoor public"
"Bonita Springs",FL,9,9,9,9,9,true,13,"outdoor public lights"
"Douglasville",GA,11,9,11,11,9,true,13,"indoor outdoor public"
"Ankeny",IA,9,9,9,9,9,true,13,"indoor outdoor public"
"Belleville",IL,9,9,9,9,9,true,13,"indoor outdoor public"
"Westfield",MA,9,9,9,9,9,true,13,"indoor outdoor public"
"Eden Prairie",MN,9,9,9,9,9,true,13,"indoor outdoor public"
"Santa Clarita",CA,8,8,8,8,8,true,13,"indoor outdoor free public"
"Boulder",CO,10,10,8,10,8,true,13,"indoor outdoor public lights"
"Kissimmee",FL,10,10,8,10,8,true,13,"outdoor free public lights"
"West Palm Beach",FL,8,8,8,8,8,true,13,"indoor outdoor public lights"
"Alpharetta",GA,9,9,8,9,8,true,13,"indoor outdoor public lights"
"Greenville",NC,8,8,8,8,8,true,13,"indoor outdoor public lights"
"Hendersonville",NC,10,9,9,10,8,true,13,"indoor outdoor public lights"
"New Bern",NC,9,8,9,9,8,true,13,"indoor outdoor public lights"
"Dansville",NY,8,8,8,8,8,true,13,"indoor outdoor public lights"
"Cleveland",OH,8,8,8,8,8,true,13,"indoor outdoor free public"
"North Canton",OH,8,8,8,8,8,true,13,"indoor outdoor public lights"
"Grants Pass",OR,9,8,9,9,8,true,13,"indoor outdoor public lights"
"Greenville",SC,11,10,9,11,8,true,13,"outdoor free public lights"
"Cookeville",TN,9,9,8,9,8,true,13,"indoor outdoor public lights"
"Conroe",TX,8,8,8,8,8,true,13,"indoor outdoor public lights"
"McAllen",TX,8,8,8,8,8,true,13,"indoor outdoor public lights"
"Chesapeake",VA,9,8,9,9,8,true,13,"indoor outdoor public lights"
"South Burlington",VT,8,8,8,8,8,true,13,"indoor outdoor public lights"
"Auburn",WA,9,9,8,9,8,true,13,"outdoor free public lights"
"Marysville",WA,8,8,8,8,8,true,13,"outdoor free public lights"
"West Bend",WI,8,8,8,8,8,true,13,"indoor outdoor public lights"
"Athens",GA,7,7,7,7,7,true,13,"indoor outdoor free public lights"
"Columbus",GA,10,10,7,10,7,true,13,"indoor outdoor free public lights"
"Mooresville",NC,10,10,7,10,7,true,13,"indoor outdoor free public lights"
"Chambersburg",PA,7,7,7,7,7,true,13,"indoor outdoor free public lights"
"Apache Junction",AZ,11,11,9,11,9,true,12,"outdoor lights"
"Casa Grande",AZ,9,9,9,9,9,true,12,"outdoor lights"
"Miami Beach",FL,9,9,9,9,9,true,12,"outdoor public"
"Palm Coast",FL,10,9,9,10,9,true,12,"outdoor public"
"Punta Gorda",FL,10,9,10,10,9,true,12,"outdoor public"
"Brunswick",GA,9,9,9,9,9,true,12,"outdoor public"
"Surprise",AZ,8,8,8,8,8,true,12,"outdoor public lights"
"Stamford",CT,10,9,9,10,8,true,12,"indoor outdoor public"
"Fort Pierce",FL,9,8,9,9,8,true,12,"outdoor free public"
"Oviedo",FL,8,8,8,8,8,true,12,"indoor outdoor public"
"New Orleans",LA,8,8,8,8,8,true,12,"indoor free public"
"Newton",MA,9,8,9,9,8,true,12,"indoor public lights"
"Woburn",MA,8,8,8,8,8,true,12,"indoor outdoor public"
"Worcester",MA,8,8,8,8,8,true,12,"indoor outdoor public"
"Bowie",MD,9,9,8,9,8,true,12,"indoor outdoor public"
"Salisbury",MD,9,9,8,9,8,true,12,"indoor outdoor public"
"Saginaw",MI,8,8,8,8,8,true,12,"outdoor public lights"
"Woodbury",MN,11,8,11,11,8,true,12,"indoor outdoor public"
"Festus",MO,9,8,9,9,8,true,12,"indoor outdoor public"
"Bismarck",ND,8,8,8,8,8,true,12,"indoor outdoor public"
"Buffalo",NY,9,9,8,9,8,true,12,"indoor outdoor public"
"Norman",OK,10,9,9,10,8,true,12,"indoor public lights"
"State College",PA,8,8,8,8,8,true,12,"outdoor public lights"
"McKinney",TX,10,10,8,10,8,true,12,"indoor outdoor lights"
"Bennington",VT,9,8,8,9,8,true,12,"indoor outdoor public"
"Fond Du Lac",WI,8,8,8,8,8,true,12,"outdoor public lights"
"Racine",WI,10,8,10,10,8,true,12,"indoor outdoor public"
"Red Bluff",CA,7,7,7,7,7,true,12,"indoor outdoor public lights"
"Lenexa",KS,7,7,7,7,7,true,12,"indoor outdoor public lights"
"Paducah",KY,9,7,9,9,7,true,12,"outdoor free public lights"
"Burlington",NC,7,7,7,7,7,true,12,"indoor outdoor public lights"
"Grand Forks",ND,8,7,8,8,7,true,12,"indoor outdoor public lights"
"Concord",NH,7,7,7,7,7,true,12,"indoor outdoor public lights"
"Farmington",NM,8,7,8,8,7,true,12,"outdoor free public lights"
"Los Alamos",NM,7,7,7,7,7,true,12,"outdoor free public lights"
"North Las Vegas",NV,7,7,7,7,7,true,12,"outdoor free public lights"
"Staten Island",NY,8,8,7,8,7,true,12,"indoor outdoor public lights"
"Stillwater",OK,7,7,7,7,7,true,12,"indoor outdoor public lights"
"Beaverton",OR,13,13,7,13,7,true,12,"indoor outdoor public lights"
"Williamsport",PA,8,7,8,8,7,true,12,"indoor outdoor public lights"
"York",PA,7,7,7,7,7,true,12,"indoor outdoor public lights"
"Aiken",SC,7,7,7,7,7,true,12,"outdoor free public lights"
"Lexington",SC,7,7,7,7,7,true,12,"indoor outdoor public lights"
"Mount Pleasant",SC,8,8,7,8,7,true,12,"indoor outdoor public lights"
"Denton",TX,7,7,7,7,7,true,12,"indoor outdoor public lights"
"Irving",TX,8,8,7,8,7,true,12,"indoor outdoor public lights"
"Montgomery",TX,8,8,7,8,7,true,12,"indoor outdoor public lights"
"Nacogdoches",TX,7,7,7,7,7,true,12,"indoor outdoor public lights"
"Rockwall",TX,8,8,7,8,7,true,12,"indoor outdoor public lights"
"San Angelo",TX,8,7,8,8,7,true,12,"outdoor free public lights"
"Wichita Falls",TX,7,7,7,7,7,true,12,"indoor outdoor public lights"
"Harrisonburg",VA,7,7,7,7,7,true,12,"indoor outdoor public lights"
"Mechanicsville",VA,7,7,7,7,7,true,12,"indoor free public lights"
"Warrenton",VA,7,7,7,7,7,true,12,"indoor outdoor public lights"
"Williamsburg",VA,9,9,7,9,7,true,12,"indoor outdoor public lights"
"Kennewick",WA,10,10,7,10,7,true,12,"indoor outdoor public lights"
"Olympia",WA,7,7,7,7,7,true,12,"indoor outdoor public lights"
"Parkersburg",WV,7,7,7,7,7,true,12,"indoor outdoor public lights"
"Riverside",CA,7,6,7,7,6,true,12,"indoor outdoor free public lights"
"Port Townsend",WA,6,6,6,6,6,true,12,"indoor outdoor free public lights"
"Escondido",CA,8,8,8,8,8,true,11,"outdoor public"
"Monterey",CA,8,8,8,8,8,true,11,"outdoor public"
"Truckee",CA,8,8,8,8,8,true,11,"outdoor public"
"Evergreen",CO,8,8,8,8,8,true,11,"outdoor public"
"Boca Raton",FL,12,12,8,12,8,true,11,"outdoor public"
"Fernandina Beach",FL,8,8,8,8,8,true,11,"outdoor public"
"Vero Beach",FL,10,9,9,10,8,true,11,"outdoor public"
"Augusta",GA,8,8,8,8,8,true,11,"indoor public"
"Pearl City",HI,8,8,8,8,8,true,11,"outdoor public"
"Waipahu",HI,8,8,8,8,8,true,11,"outdoor public"
"Coeur d'Alene",ID,12,10,10,12,8,true,11,"outdoor public"
"El Cajon",CA,7,7,7,7,7,true,11,"indoor outdoor public"
"Fresno",CA,7,7,7,7,7,true,11,"outdoor free public"
"Hayward",CA,7,7,7,7,7,true,11,"indoor outdoor public"
"Rancho Mirage",CA,7,7,7,7,7,true,11,"outdoor public lights"
"San Clemente",CA,7,7,7,7,7,true,11,"indoor outdoor public"
"Loveland",CO,10,7,10,10,7,true,11,"indoor outdoor public"
"Windsor",CO,7,7,7,7,7,true,11,"indoor outdoor public"
"Milford",CT,8,8,7,8,7,true,11,"indoor outdoor public"
"Trumbull",CT,7,7,7,7,7,true,11,"indoor outdoor public"
"Lakewood Ranch",FL,8,8,7,8,7,true,11,"outdoor public lights"
"Cumming",GA,8,7,8,8,7,true,11,"indoor outdoor lights"
"Savannah",GA,10,9,8,10,7,true,11,"outdoor public lights"
"Ames",IA,7,7,7,7,7,true,11,"indoor outdoor public"
"Davenport",IA,9,7,9,9,7,true,11,"indoor outdoor public"
"Champaign",IL,7,7,7,7,7,true,11,"outdoor free public"
"Decatur",IL,9,7,9,9,7,true,11,"indoor outdoor public"
"Quincy",IL,7,7,7,7,7,true,11,"outdoor free public"
"Noblesville",IN,7,7,7,7,7,true,11,"indoor outdoor public"
"Topeka",KS,9,7,9,9,7,true,11,"indoor public lights"
"Beverly",MA,7,7,7,7,7,true,11,"indoor outdoor public"
"Danvers",MA,7,7,7,7,7,true,11,"indoor outdoor public"
"Mashpee",MA,7,7,7,7,7,true,11,"indoor outdoor public"
"Portland",ME,8,8,7,8,7,true,11,"indoor outdoor public"
"Livonia",MI,8,7,8,8,7,true,11,"indoor outdoor public"
"Marquette",MI,7,7,7,7,7,true,11,"indoor outdoor public"
"Eagan",MN,7,7,7,7,7,true,11,"indoor outdoor public"
"Moorhead",MN,7,7,7,7,7,true,11,"indoor outdoor public"
"Chesterfield",MO,8,7,8,8,7,true,11,"indoor outdoor lights"
"Jefferson City",MO,8,7,8,8,7,true,11,"outdoor free public"
"Pinehurst",NC,9,8,8,9,7,true,11,"outdoor public lights"
"Keene",NH,7,7,7,7,7,true,11,"outdoor public lights"
"Kingston",NY,7,7,7,7,7,true,11,"indoor public lights"
"Syracuse",NY,7,7,7,7,7,true,11,"outdoor public lights"
"Troy",NY,7,7,7,7,7,true,11,"outdoor public lights"
"Rapid City",SD,8,7,8,8,7,true,11,"indoor outdoor public"
"Cypress",TX,14,14,7,14,7,true,11,"indoor outdoor public"
"Granbury",TX,7,7,7,7,7,true,11,"indoor public lights"
"Little Elm",TX,7,7,7,7,7,true,11,"outdoor public lights"
"Spring",TX,12,12,7,12,7,true,11,"outdoor public lights"
"Waco",TX,8,8,7,8,7,true,11,"outdoor public lights"
"St. George",UT,7,7,7,7,7,true,11,"outdoor public lights"
"Falls Church",VA,7,7,7,7,7,true,11,"outdoor public lights"
"Ellensburg",WA,8,7,8,8,7,true,11,"indoor public lights"
"Everett",WA,10,8,8,10,7,true,11,"outdoor public lights"
"Sequim",WA,7,7,7,7,7,true,11,"indoor outdoor public"
"Eau Claire",WI,7,7,7,7,7,true,11,"indoor outdoor public"
"Charleston",WV,8,8,7,8,7,true,11,"indoor public lights"
"Tempe",AZ,8,7,7,8,6,true,11,"indoor outdoor public lights"
"Lakeland",FL,6,6,6,6,6,true,11,"indoor outdoor public lights"
"Clinton",IA,6,6,6,6,6,true,11,"indoor outdoor public lights"
"Bedford",MA,6,6,6,6,6,true,11,"indoor outdoor free public"
"Bel Air",MD,6,6,6,6,6,true,11,"indoor outdoor public lights"
"Blue Springs",MO,7,6,6,7,6,true,11,"outdoor free public lights"
"Winston Salem",NC,8,7,7,8,6,true,11,"indoor outdoor public lights"
"Madison",NJ,6,6,6,6,6,true,11,"outdoor free public lights"
"Sparks",NV,6,6,6,6,6,true,11,"outdoor free public lights"
"Binghamton",NY,7,7,6,7,6,true,11,"indoor outdoor public lights"
"Lockport",NY,6,6,6,6,6,true,11,"indoor outdoor public lights"
"Mcminnville",OR,7,6,7,7,6,true,11,"indoor outdoor public lights"
"Carlisle",PA,6,6,6,6,6,true,11,"indoor free public lights"
"Havertown",PA,6,6,6,6,6,true,11,"indoor outdoor public lights"
"Crossville",TN,9,7,8,9,6,true,11,"indoor outdoor public lights"
"League City",TX,7,6,7,7,6,true,11,"indoor outdoor free public"
"Tyler",TX,6,6,6,6,6,true,11,"indoor outdoor public lights"
"Salem",VA,6,6,6,6,6,true,11,"indoor outdoor public lights"
"Bremerton",WA,7,6,7,7,6,true,11,"indoor outdoor public lights"
"Longview",WA,6,6,6,6,6,true,11,"indoor outdoor public lights"
"Mercer Island",WA,6,6,6,6,6,true,11,"indoor outdoor public lights"
"Walla Walla",WA,6,6,6,6,6,true,11,"outdoor free public lights"
"Goodyear",AZ,10,10,7,10,7,true,10,"outdoor public"
"Oro Valley",AZ,8,8,7,8,7,true,10,"outdoor lights"
"Folsom",CA,7,7,7,7,7,true,10,"indoor outdoor"
"Hemet",CA,7,7,7,7,7,true,10,"outdoor public"
"Novato",CA,7,7,7,7,7,true,10,"outdoor public"
"Oceanside",CA,7,7,7,7,7,true,10,"outdoor public"
"Salinas",CA,7,7,7,7,7,true,10,"outdoor public"
"Tracy",CA,7,7,7,7,7,true,10,"outdoor public"
"Tustin",CA,7,7,7,7,7,true,10,"outdoor public"
"Westport",CT,7,7,7,7,7,true,10,"outdoor public"
