slug,city,state,postal_code,derived_county,method,confidence,share,reason
"hunter-street-baptist-church","Hoover",AL,35244,"Shelby",zip_nearest_county_centroid,0.6,0.5364,"ZCTA spans 2 counties; nearest county centroid is 19 km away, next is 23 km (margin 3 km)"
"veterans-park-hoover","Hoover",AL,35242,"Shelby",zip_nearest_county_centroid,0.78,0.799,"ZCTA spans 2 counties; nearest county centroid is 15 km away, next is 24 km (margin 9 km)"
"john-hunt-park-recreation-center-huntsville-al","Huntsville",AL,,"",none,0,,"no postal_code"
"spragins-hall","Huntsville",AL,35888,"",none,0,,"ZIP has no ZCTA in the Census relationship file (often a PO-box or point ZIP)"
"the-picklr-huntsville","Huntsville",AL,,"",none,0,,"no postal_code"
"swann-court-jasper","Jasper",AL,35502,"",none,0,,"ZIP has no ZCTA in the Census relationship file (often a PO-box or point ZIP)"
"mountain-lakes-resort-73","Langston",AL,35755,"Jackson",zip_nearest_county_centroid,0.6,0.2803,"ZCTA spans 2 counties; nearest county centroid is 26 km away, next is 34 km (margin 8 km) — OVERRODE the larger-by-land-area candidate"
"mosely-park-lincoln","Lincoln",AL,35096,"Talladega",zip_nearest_county_centroid,0.6,0.8852,"ZCTA spans 2 counties; nearest county centroid is 28 km away, next is 32 km (margin 4 km)"
"pickleroom","Madison",AL,35756,"Limestone",zip_nearest_county_centroid,0.6,0.8154,"ZCTA spans 2 counties; nearest county centroid is 18 km away, next is 22 km (margin 4 km)"
"17-springs","Millbrook",AL,36054,"Elmore",zip_nearest_county_centroid,0.78,0.88,"ZCTA spans 2 counties; nearest county centroid is 24 km away, next is 34 km (margin 10 km)"
"the-fields-at-17-springs","Millbrook",AL,36054,"Elmore",zip_nearest_county_centroid,0.78,0.88,"ZCTA spans 2 counties; nearest county centroid is 24 km away, next is 34 km (margin 10 km)"
"crawford-park","Mobile",AL,36601,"",none,0,,"ZIP has no ZCTA in the Census relationship file (often a PO-box or point ZIP)"
"joe-bailey-park","Mobile",AL,36601,"",none,0,,"ZIP has no ZCTA in the Census relationship file (often a PO-box or point ZIP)"
"picklerage-mobile-al","Mobile",AL,,"",none,0,,"no postal_code"
"new-hope-recreation-center","New Hope",AL,35760,"Marshall",zip_nearest_county_centroid,0.6,0.0705,"ZCTA spans 2 counties; nearest county centroid is 26 km away, next is 29 km (margin 3 km) — OVERRODE the larger-by-land-area candidate"
"tuscaloosa-county-pickleball-association","Northport",AL,,"",none,0,,"no postal_code"
"opp-parks-rec","Opp",AL,36467,"Covington",zip_nearest_county_centroid,0.78,0.9411,"ZCTA spans 2 counties; nearest county centroid is 19 km away, next is 29 km (margin 10 km)"
"oxford-alabama-pickleball","Oxford",AL,,"",none,0,,"no postal_code"
"ozark-pickleball-and-sports-complex","Ozark",AL,36361,"",none,0,,"ZIP has no ZCTA in the Census relationship file (often a PO-box or point ZIP)"
