slug,city,state,postal_code,derived_county,method,confidence,share,reason
"sun-n-lake-lake-placid","Lake Placid",FL,33862,"",none,0,,"ZIP has no ZCTA in the Census relationship file (often a PO-box or point ZIP)"
"lakeshore-colony","Lake Worth",FL,33346,"",none,0,,"ZIP has no ZCTA in the Census relationship file (often a PO-box or point ZIP)"
"pickleball-at-fontaine-gills-family-ymca","Lakeland",FL,33810,"Polk",zip_nearest_county_centroid,0.78,0.7343,"ZCTA spans 2 counties; nearest county centroid is 33 km away, next is 44 km (margin 11 km)"
"pickleball-courts-at-simpson-park-community-center","Lakeland",FL,33806,"",none,0,,"ZIP has no ZCTA in the Census relationship file (often a PO-box or point ZIP)"
"premier-sports-campus-north-lakewood-ranch","Lakewood Ranch",FL,,"",none,0,,"no postal_code"
"veteran-s-park-fort-myers","Lehigh Acres",FL,33936,"Lee",zip_nearest_county_centroid,0.78,0.3187,"ZCTA spans 2 counties; nearest county centroid is 33 km away, next is 51 km (margin 18 km) — OVERRODE the larger-by-land-area candidate"
"bayfront-park","Longboat Key",FL,34228,"Manatee",zip_nearest_county_centroid,0.6,0.4266,"ZCTA spans 2 counties; nearest county centroid is 27 km away, next is 31 km (margin 4 km) — OVERRODE the larger-by-land-area candidate"
"ace-pickleball-fl","Lutz",FL,33558,"Pasco",zip_nearest_county_centroid,0.78,0.3594,"ZCTA spans 2 counties; nearest county centroid is 18 km away, next is 30 km (margin 11 km) — OVERRODE the larger-by-land-area candidate"
"lake-como-family-nudist-resort","Lutz",FL,33558,"Pasco",zip_nearest_county_centroid,0.78,0.3594,"ZCTA spans 2 counties; nearest county centroid is 18 km away, next is 30 km (margin 11 km) — OVERRODE the larger-by-land-area candidate"
"paradise-lakes-resort","Lutz",FL,33558,"Pasco",zip_nearest_county_centroid,0.78,0.3594,"ZCTA spans 2 counties; nearest county centroid is 18 km away, next is 30 km (margin 11 km) — OVERRODE the larger-by-land-area candidate"
"city-of-maitland-minnehaha-park","Maitland",FL,32751,"Orange",zip_nearest_county_centroid,0.78,0.7473,"ZCTA spans 2 counties; nearest county centroid is 13 km away, next is 24 km (margin 11 km)"
"minnehaha-park","Maitland",FL,32751,"Orange",zip_nearest_county_centroid,0.78,0.7473,"ZCTA spans 2 counties; nearest county centroid is 13 km away, next is 24 km (margin 11 km)"
"marathon-city-pickleball-courts-marathon","Marathon",FL,,"",none,0,,"no postal_code"
"foxmeadow-recreational-park","Middleburg",FL,32050,"",none,0,,"ZIP has no ZCTA in the Census relationship file (often a PO-box or point ZIP)"
"cuyler-community-center-1162","Mims",FL,32754,"Brevard",zip_nearest_county_centroid,0.6,0.7818,"ZCTA spans 2 counties; nearest county centroid is 45 km away, next is 52 km (margin 7 km)"
"cuyler-community-center","Mims",FL,32754,"Brevard",zip_nearest_county_centroid,0.78,0.7818,"ZCTA spans 2 counties; nearest county centroid is 43 km away, next is 54 km (margin 12 km)"
"mims-united-methodist-church","Mims",FL,32754,"Brevard",zip_nearest_county_centroid,0.78,0.7818,"ZCTA spans 2 counties; nearest county centroid is 43 km away, next is 53 km (margin 10 km)"
"mims-united-methodist-church-pickleball-courts","Mims",FL,32754,"Brevard",zip_nearest_county_centroid,0.78,0.7818,"ZCTA spans 2 counties; nearest county centroid is 43 km away, next is 53 km (margin 10 km)"
"seasons-in-the-sun-rv-resort","Mims",FL,32754,"Brevard",zip_nearest_county_centroid,0.6,0.7818,"ZCTA spans 2 counties; nearest county centroid is 45 km away, next is 52 km (margin 7 km)"
"north-lake-estates-rv-resort","Moore Haven",FL,33471,"Glades",zip_nearest_county_centroid,0.78,0.9998,"ZCTA spans 2 counties; nearest county centroid is 17 km away, next is 33 km (margin 16 km)"
"the-glades-rv-resort","Moore Haven",FL,33471,"Glades",zip_nearest_county_centroid,0.78,0.9998,"ZCTA spans 2 counties; nearest county centroid is 17 km away, next is 33 km (margin 16 km)"
"crystal-lake-rv-resort-private-courts","Naples",FL,34119,"Collier",zip_nearest_county_centroid,0.78,0.9816,"ZCTA spans 2 counties; nearest county centroid is 33 km away, next is 44 km (margin 11 km)"
"cypress-woods","Naples",FL,34119,"Collier",zip_nearest_county_centroid,0.6,0.9816,"ZCTA spans 2 counties; nearest county centroid is 38 km away, next is 40 km (margin 1 km)"
"esplanade-golf-country-club-of-naples","Naples",FL,34119,"Lee",zip_nearest_county_centroid,0.6,0.0184,"ZCTA spans 2 counties; nearest county centroid is 39 km away, next is 41 km (margin 2 km) — OVERRODE the larger-by-land-area candidate"
"lake-san-marino-rv-resort","Naples",FL,34110,"Lee",zip_nearest_county_centroid,0.78,0.0517,"ZCTA spans 2 counties; nearest county centroid is 35 km away, next is 44 km (margin 9 km) — OVERRODE the larger-by-land-area candidate"
"silver-lakes-rv-and-golf-resort","Naples",FL,39114,"Smith",zip_nearest_county_centroid,0,0.0003,"derived county is in MS but the row says FL - ZIP or state is wrong"
"bluewater-bay-elementary","Niceville",FL,32588,"",none,0,,"ZIP has no ZCTA in the Census relationship file (often a PO-box or point ZIP)"
"meigs-niceville","Niceville",FL,32578,"Okaloosa",zip_nearest_county_centroid,0.78,0.9739,"ZCTA spans 2 counties; nearest county centroid is 14 km away, next is 31 km (margin 16 km)"
"niceville-senior-center","Niceville",FL,32578,"Okaloosa",zip_nearest_county_centroid,0.78,0.9739,"ZCTA spans 2 counties; nearest county centroid is 15 km away, next is 30 km (margin 16 km)"
"del-webb-oak-creek-north-fort-myers","North Fort Myers",FL,33917,"Lee",zip_nearest_county_centroid,0.78,0.7264,"ZCTA spans 2 counties; nearest county centroid is 16 km away, next is 29 km (margin 13 km)"
"doug-s-place","North Fort Myers",FL,33917,"Lee",zip_nearest_county_centroid,0.78,0.7264,"ZCTA spans 2 counties; nearest county centroid is 19 km away, next is 28 km (margin 9 km)"
"heron-s-glen","North Fort Myers",FL,33917,"Charlotte",zip_nearest_county_centroid,0.6,0.2736,"ZCTA spans 2 counties; nearest county centroid is 18 km away, next is 24 km (margin 6 km) — OVERRODE the larger-by-land-area candidate"
"okeechobee-koa-resort","Okeechobee",FL,34974,"Okeechobee",zip_nearest_county_centroid,0.78,0.2206,"ZCTA spans 4 counties; nearest county centroid is 22 km away, next is 41 km (margin 18 km) — OVERRODE the larger-by-land-area candidate"
"genesis-health-club-orlando-sportsplex","Orlando",FL,,"",none,0,,"no postal_code"
"pickleball-orlando","Orlando",FL,,"",none,0,,"no postal_code"
"picklex-club-orlando","Orlando",FL,,"",none,0,,"no postal_code"
"rdv-sportspex","Orlando",FL,32810,"Orange",zip_nearest_county_centroid,0.78,0.9985,"ZCTA spans 2 counties; nearest county centroid is 15 km away, next is 27 km (margin 11 km)"
"the-picklr-orlando-north","Orlando",FL,32703,"Orange",zip_nearest_county_centroid,0.78,0.9095,"ZCTA spans 2 counties; nearest county centroid is 22 km away, next is 31 km (margin 10 km)"
"ormond-beach-nova-community-center","Ormond Beach",FL,32174,"Volusia",zip_nearest_county_centroid,0.6,0.7059,"ZCTA spans 2 counties; nearest county centroid is 27 km away, next is 28 km (margin 2 km)"
"lakeside-landings","Oxford",FL,04428,"Penobscot",zip_single_county,0,1,"derived county is in ME but the row says FL - ZIP or state is wrong"
"highlands-reserve","Palm City",FL,34990,"Martin",zip_nearest_county_centroid,0.78,0.9817,"ZCTA spans 2 counties; nearest county centroid is 15 km away, next is 28 km (margin 13 km)"
"justin-wilson-memorial-park","Palm City",FL,34990,"Martin",zip_nearest_county_centroid,0.78,0.9817,"ZCTA spans 2 counties; nearest county centroid is 17 km away, next is 27 km (margin 10 km)"
"celdadon-beach-resort","Panama City Beach",FL,32413,"Bay",zip_nearest_county_centroid,0.6,0.9957,"ZCTA spans 2 counties; nearest county centroid is 37 km away, next is 45 km (margin 7 km)"
"diadem-emerald-coast-pickleball-panama-city-beach","Panama City Beach",FL,,"",none,0,,"no postal_code"
"latitude-margaritaville-watersound","Panama City Beach",FL,32413,"Bay",zip_nearest_county_centroid,0.78,0.9957,"ZCTA spans 2 counties; nearest county centroid is 33 km away, next is 43 km (margin 11 km)"
"del-webb-nocatee","Ponte Vedra",FL,32081,"St. Johns",zip_nearest_county_centroid,0.78,0.9029,"ZCTA spans 2 counties; nearest county centroid is 22 km away, next is 36 km (margin 14 km)"
"del-webb-ponte-vedra","Ponte Vedra",FL,32081,"St. Johns",zip_nearest_county_centroid,0.78,0.9029,"ZCTA spans 2 counties; nearest county centroid is 23 km away, next is 36 km (margin 13 km)"
"nocatee-pickleball-courts","Ponte Vedra",FL,32081,"St. Johns",zip_nearest_county_centroid,0.78,0.9029,"ZCTA spans 2 counties; nearest county centroid is 24 km away, next is 34 km (margin 11 km)"
"nocatee-ponte-vedra","Ponte Vedra",FL,32081,"St. Johns",zip_nearest_county_centroid,0.78,0.9029,"ZCTA spans 2 counties; nearest county centroid is 24 km away, next is 34 km (margin 9 km)"
"nocatee-splash-park","Ponte Vedra",FL,32081,"St. Johns",zip_nearest_county_centroid,0.78,0.9029,"ZCTA spans 2 counties; nearest county centroid is 24 km away, next is 34 km (margin 10 km)"
"valley-ridge-academy","Ponte Vedra",FL,32081,"St. Johns",zip_nearest_county_centroid,0.78,0.9029,"ZCTA spans 2 counties; nearest county centroid is 24 km away, next is 32 km (margin 8 km)"
"walden-chase","Ponte Vedra",FL,32081,"St. Johns",zip_nearest_county_centroid,0.78,0.9029,"ZCTA spans 2 counties; nearest county centroid is 23 km away, next is 33 km (margin 10 km)"
"spruce-creek-country-club","Port Orange",FL,32928,"",none,0,,"ZIP has no ZCTA in the Census relationship file (often a PO-box or point ZIP)"
"pball-smash","Port Richey",FL,,"",none,0,,"no postal_code"
"riverland-sports-racquet-club-expansion-port-st-lucie","Port St. Lucie",FL,,"",none,0,,"no postal_code"
"creekside-christian-church","Saint Johns",FL,32259,"St. Johns",zip_nearest_county_centroid,0.6,0.9851,"ZCTA spans 2 counties; nearest county centroid is 26 km away, next is 28 km (margin 2 km)"
"fruit-cove-recreation-club","Saint Johns",FL,32259,"St. Johns",zip_nearest_county_centroid,0.6,0.9851,"ZCTA spans 2 counties; nearest county centroid is 28 km away, next is 30 km (margin 2 km)"
"salt-springs-civic-association-park","Salt Springs",FL,32134,"Putnam",zip_nearest_county_centroid,0.6,0.1783,"ZCTA spans 3 counties; nearest county centroid is 27 km away, next is 34 km (margin 7 km) — OVERRODE the larger-by-land-area candidate"
"san-mateo","San Mateo",FL,32178,"",none,0,,"ZIP has no ZCTA in the Census relationship file (often a PO-box or point ZIP)"
"dill-dinkers-sarasota-f30011","Sarasota",FL,,"",none,0,,"no postal_code"
"governor-ron-desantis-park","Sarasota",FL,34243,"Manatee",zip_nearest_county_centroid,0.6,0.804,"ZCTA spans 2 counties; nearest county centroid is 15 km away, next is 22 km (margin 8 km)"
"longwood-park","Sarasota",FL,34243,"Manatee",zip_nearest_county_centroid,0.6,0.804,"ZCTA spans 2 counties; nearest county centroid is 13 km away, next is 19 km (margin 6 km)"
"our-y-formerly-ymca-sadlier-park","Sarasota",FL,34277,"",none,0,,"ZIP has no ZCTA in the Census relationship file (often a PO-box or point ZIP)"
"palm-aire-country-club","Sarasota",FL,34243,"Manatee",zip_nearest_county_centroid,0.78,0.804,"ZCTA spans 2 counties; nearest county centroid is 12 km away, next is 21 km (margin 9 km)"
"ronald-foxworthy-campus-pickleball-courts-sarasota","Sarasota",FL,,"",none,0,,"no postal_code"
"sun-outdoors-sarasota","Sarasota",FL,,"",none,0,,"no postal_code"
"the-pickleball-club","Sarasota",FL,34240,"Manatee",zip_nearest_county_centroid,0.6,0.0011,"ZCTA spans 2 counties; nearest county centroid is 14 km away, next is 14 km (margin 1 km) — OVERRODE the larger-by-land-area candidate"
"twin-lakes-park-pickleball-courts-sarasota","Sarasota",FL,,"",none,0,,"no postal_code"
"dill-dinkers-satellite-beach-f30014","Satellite Beach",FL,,"",none,0,,"no postal_code"
"sebastian-river-high-school","Sebastian",FL,32978,"",none,0,,"ZIP has no ZCTA in the Census relationship file (often a PO-box or point ZIP)"
"lake-josephine","Sebring",FL,33826,"",none,0,,"ZIP has no ZCTA in the Census relationship file (often a PO-box or point ZIP)"
"veterans-park-st-johns","St Johns",FL,32259,"St. Johns",zip_nearest_county_centroid,0.78,0.9851,"ZCTA spans 2 counties; nearest county centroid is 24 km away, next is 32 km (margin 8 km)"
"veterans-park-13799","St Johns",FL,32259,"Duval",zip_nearest_county_centroid,0.6,0.0149,"ZCTA spans 2 counties; nearest county centroid is 27 km away, next is 28 km (margin 1 km) — OVERRODE the larger-by-land-area candidate"
"dill-dinkers-st-petersburg-f30020","St. Petersburg",FL,,"",none,0,,"no postal_code"
"jupiter-tennis-and-pickleball-tequesta","Tequesta",FL,33469,"Martin",zip_nearest_county_centroid,0.78,0.7162,"ZCTA spans 2 counties; nearest county centroid is 29 km away, next is 48 km (margin 20 km)"
"riverbend-country-club","Tequesta",FL,33469,"Martin",zip_nearest_county_centroid,0.78,0.7162,"ZCTA spans 2 counties; nearest county centroid is 34 km away, next is 50 km (margin 16 km)"
"tequesta-park","Tequesta",FL,33333,"",none,0,,"ZIP has no ZCTA in the Census relationship file (often a PO-box or point ZIP)"
"tequesta-village-parks-rec","Tequesta",FL,33469,"Martin",zip_nearest_county_centroid,0.78,0.7162,"ZCTA spans 2 counties; nearest county centroid is 33 km away, next is 49 km (margin 16 km)"
"allamanda","The Villages",FL,32162,"Sumter",zip_nearest_county_centroid,0.78,0.8457,"ZCTA spans 2 counties; nearest county centroid is 21 km away, next is 36 km (margin 15 km)"
"aviary-the-villages","The Villages",FL,32163,"Sumter",zip_nearest_county_centroid,0.78,0.8974,"ZCTA spans 2 counties; nearest county centroid is 13 km away, next is 26 km (margin 14 km)"
"bradenton","The Villages",FL,32163,"Sumter",zip_nearest_county_centroid,0.78,0.8974,"ZCTA spans 2 counties; nearest county centroid is 18 km away, next is 28 km (margin 10 km)"
"canal-the-villages","The Villages",FL,32162,"Sumter",zip_nearest_county_centroid,0.78,0.8457,"ZCTA spans 2 counties; nearest county centroid is 22 km away, next is 35 km (margin 12 km)"
"chula-vista","The Villages",FL,32159,"Sumter",zip_nearest_county_centroid,0.6,0.1548,"ZCTA spans 2 counties; nearest county centroid is 27 km away, next is 29 km (margin 2 km) — OVERRODE the larger-by-land-area candidate"
"churchill-downs","The Villages",FL,32162,"Sumter",zip_nearest_county_centroid,0.78,0.8457,"ZCTA spans 2 counties; nearest county centroid is 23 km away, next is 32 km (margin 9 km)"
"coconut-cove","The Villages",FL,32162,"Sumter",zip_nearest_county_centroid,0.78,0.8457,"ZCTA spans 2 counties; nearest county centroid is 23 km away, next is 35 km (margin 12 km)"
"colony-cottage-sports-pool-rec","The Villages",FL,,"",none,0,,"no postal_code"
"colony-the-villages","The Villages",FL,32162,"Sumter",zip_nearest_county_centroid,0.78,0.8457,"ZCTA spans 2 counties; nearest county centroid is 20 km away, next is 38 km (margin 18 km)"
"deluna-recreation-center","The Villages",FL,32163,"Sumter",zip_nearest_county_centroid,0.78,0.8974,"ZCTA spans 2 counties; nearest county centroid is 13 km away, next is 33 km (margin 20 km)"
"eisenhower","The Villages",FL,32163,"Sumter",zip_nearest_county_centroid,0.6,0.8974,"ZCTA spans 2 counties; nearest county centroid is 23 km away, next is 30 km (margin 8 km)"
"el-santiago","The Villages",FL,32162,"Sumter",zip_nearest_county_centroid,0.6,0.8457,"ZCTA spans 2 counties; nearest county centroid is 27 km away, next is 29 km (margin 2 km)"
"ezell-the-villages","The Villages",FL,32163,"Sumter",zip_nearest_county_centroid,0.78,0.8974,"ZCTA spans 2 counties; nearest county centroid is 13 km away, next is 25 km (margin 12 km)"
"franklin","The Villages",FL,32163,"Sumter",zip_nearest_county_centroid,0.78,0.8974,"ZCTA spans 2 counties; nearest county centroid is 14 km away, next is 23 km (margin 9 km)"
"hibiscus","The Villages",FL,32162,"Sumter",zip_nearest_county_centroid,0.78,0.8457,"ZCTA spans 2 counties; nearest county centroid is 22 km away, next is 35 km (margin 13 km)"
"la-hacienda","The Villages",FL,32162,"Sumter",zip_nearest_county_centroid,0.6,0.8457,"ZCTA spans 2 counties; nearest county centroid is 28 km away, next is 30 km (margin 2 km)"
"lake-miona","The Villages",FL,32162,"Sumter",zip_nearest_county_centroid,0.78,0.8457,"ZCTA spans 2 counties; nearest county centroid is 22 km away, next is 35 km (margin 13 km)"
"laurel-manor","The Villages",FL,32162,"Sumter",zip_nearest_county_centroid,0.6,0.8457,"ZCTA spans 2 counties; nearest county centroid is 25 km away, next is 31 km (margin 6 km)"
"manatee-the-villages","The Villages",FL,32163,"Sumter",zip_nearest_county_centroid,0.78,0.8974,"ZCTA spans 2 counties; nearest county centroid is 17 km away, next is 29 km (margin 12 km)"
"moyer-the-villages","The Villages",FL,32162,"Sumter",zip_nearest_county_centroid,0.78,0.8457,"ZCTA spans 2 counties; nearest county centroid is 20 km away, next is 39 km (margin 19 km)"
"odell-the-villages","The Villages",FL,32162,"Sumter",zip_nearest_county_centroid,0.78,0.8457,"ZCTA spans 2 counties; nearest county centroid is 21 km away, next is 37 km (margin 16 km)"
"olympia-the-villages","The Villages",FL,32163,"Sumter",zip_nearest_county_centroid,0.78,0.8974,"ZCTA spans 2 counties; nearest county centroid is 10 km away, next is 26 km (margin 16 km)"
"paradise","The Villages",FL,32159,"Sumter",zip_nearest_county_centroid,0.6,0.1548,"ZCTA spans 2 counties; nearest county centroid is 28 km away, next is 31 km (margin 2 km) — OVERRODE the larger-by-land-area candidate"
"pimlico-the-villages","The Villages",FL,32162,"Sumter",zip_nearest_county_centroid,0.78,0.8457,"ZCTA spans 2 counties; nearest county centroid is 23 km away, next is 32 km (margin 8 km)"
"rohan-recreation-center","The Villages",FL,32163,"Sumter",zip_nearest_county_centroid,0.78,0.8974,"ZCTA spans 2 counties; nearest county centroid is 16 km away, next is 26 km (margin 11 km)"
"saddlebrook","The Villages",FL,32162,"Sumter",zip_nearest_county_centroid,0.6,0.8457,"ZCTA spans 2 counties; nearest county centroid is 25 km away, next is 30 km (margin 5 km)"
"sawgrass-fl","The Villages",FL,32162,"Sumter",zip_nearest_county_centroid,0.78,0.8457,"ZCTA spans 2 counties; nearest county centroid is 20 km away, next is 37 km (margin 17 km)"
"truman-the-villages","The Villages",FL,32162,"Sumter",zip_nearest_county_centroid,0.78,0.8457,"ZCTA spans 2 counties; nearest county centroid is 19 km away, next is 38 km (margin 18 km)"
"rosselli-park-pickleball-courts-treasure-island","Treasure Island",FL,,"",none,0,,"no postal_code"
"woodmere-park","Venice",FL,34282,"",none,0,,"ZIP has no ZCTA in the Census relationship file (often a PO-box or point ZIP)"
"vista-royale-vero-beach","Vero Beach",FL,42962,"",none,0,,"ZIP has no ZCTA in the Census relationship file (often a PO-box or point ZIP)"
"everglades-recreation","Wildwood",FL,32163,"Sumter",zip_nearest_county_centroid,0.78,0.8974,"ZCTA spans 2 counties; nearest county centroid is 12 km away, next is 29 km (margin 17 km)"
"williston-crossing-rv-resort","Williston",FL,32696,"Levy",zip_nearest_county_centroid,0.6,0.7979,"ZCTA spans 2 counties; nearest county centroid is 39 km away, next is 44 km (margin 5 km)"
"valencia-lakes","Wimauma",FL,33598,"Hillsborough",zip_nearest_county_centroid,0.6,0.9247,"ZCTA spans 2 counties; nearest county centroid is 21 km away, next is 28 km (margin 7 km)"
"veteran-s-memorial-park","Winter Garden",FL,34787,"Lake",zip_nearest_county_centroid,0.6,0.1877,"ZCTA spans 2 counties; nearest county centroid is 25 km away, next is 26 km (margin 1 km) — OVERRODE the larger-by-land-area candidate"
"cady-way-park","Winter Park",FL,32792,"Orange",zip_nearest_county_centroid,0.78,0.498,"ZCTA spans 2 counties; nearest county centroid is 10 km away, next is 24 km (margin 14 km) — OVERRODE the larger-by-land-area candidate"
"goldenrod-recreation-center","Winter Park",FL,32792,"Orange",zip_nearest_county_centroid,0.78,0.498,"ZCTA spans 2 counties; nearest county centroid is 10 km away, next is 24 km (margin 14 km) — OVERRODE the larger-by-land-area candidate"
"nassau-pickleball","Yulee",FL,,"",none,0,,"no postal_code"
"mouratoglou-academy","Zephyrhills",FL,,"",none,0,,"no postal_code"
"acworth-community-center","Acworth",GA,30101,"Cobb",zip_nearest_county_centroid,0.6,0.6818,"ZCTA spans 4 counties; nearest county centroid is 17 km away, next is 24 km (margin 7 km)"
"bentwater","Acworth",GA,30101,"Cobb",zip_nearest_county_centroid,0.6,0.6818,"ZCTA spans 4 counties; nearest county centroid is 17 km away, next is 24 km (margin 7 km)"
"kennworth-tennis-center","Acworth",GA,30101,"Cobb",zip_nearest_county_centroid,0.6,0.6818,"ZCTA spans 4 counties; nearest county centroid is 17 km away, next is 24 km (margin 7 km)"
"south-bartow-youth-facility","Acworth",GA,30102,"Cobb",zip_nearest_county_centroid,0.6,0.1137,"ZCTA spans 3 counties; nearest county centroid is 17 km away, next is 24 km (margin 8 km) — OVERRODE the larger-by-land-area candidate"
"adairsville-veterans-park","Adairsville",GA,30103,"Gordon",zip_nearest_county_centroid,0.6,0.2406,"ZCTA spans 3 counties; nearest county centroid is 17 km away, next is 17 km (margin 0 km) — OVERRODE the larger-by-land-area candidate"
"manning-mill-park-gym","Adairsville",GA,30103,"Gordon",zip_nearest_county_centroid,0.6,0.2406,"ZCTA spans 3 counties; nearest county centroid is 17 km away, next is 17 km (margin 0 km) — OVERRODE the larger-by-land-area candidate"
"veterans-memorial-park-ga","Adairsville",GA,30103,"Gordon",zip_nearest_county_centroid,0.6,0.2406,"ZCTA spans 3 counties; nearest county centroid is 17 km away, next is 17 km (margin 0 km) — OVERRODE the larger-by-land-area candidate"
"albany-area-ymca","Albany",GA,31707,"Dougherty",zip_nearest_county_centroid,0.78,0.9106,"ZCTA spans 2 counties; nearest county centroid is 7 km away, next is 27 km (margin 20 km)"
"doublegate-country-club","Albany",GA,31721,"Dougherty",zip_nearest_county_centroid,0.78,0.8288,"ZCTA spans 4 counties; nearest county centroid is 7 km away, next is 27 km (margin 20 km)"
"crabapple-government-center","Alpharetta",GA,30004,"Forsyth",zip_nearest_county_centroid,0.6,0.1603,"ZCTA spans 3 counties; nearest county centroid is 23 km away, next is 25 km (margin 2 km) — OVERRODE the larger-by-land-area candidate"
"ed-isakson-alpharetta-family-ymca","Alpharetta",GA,30005,"Forsyth",zip_nearest_county_centroid,0.78,0.2976,"ZCTA spans 2 counties; nearest county centroid is 21 km away, next is 37 km (margin 16 km) — OVERRODE the larger-by-land-area candidate"
"life-time-alpharetta","Alpharetta",GA,30005,"Forsyth",zip_nearest_county_centroid,0.78,0.2976,"ZCTA spans 2 counties; nearest county centroid is 20 km away, next is 37 km (margin 17 km) — OVERRODE the larger-by-land-area candidate"
"newtown-park","Alpharetta",GA,30023,"",none,0,,"ZIP has no ZCTA in the Census relationship file (often a PO-box or point ZIP)"
"the-flying-pickle-alpharetta","Alpharetta",GA,,"",none,0,,"no postal_code"
"webb-bridge-park","Alpharetta",GA,30005,"Forsyth",zip_nearest_county_centroid,0.78,0.2976,"ZCTA spans 2 counties; nearest county centroid is 20 km away, next is 38 km (margin 18 km) — OVERRODE the larger-by-land-area candidate"
"bishop-park","Athens",GA,30606,"Clarke",zip_nearest_county_centroid,0.78,0.7363,"ZCTA spans 2 counties; nearest county centroid is 4 km away, next is 15 km (margin 10 km)"
"east-athens-community-center","Athens",GA,30605,"Clarke",zip_nearest_county_centroid,0.78,0.9503,"ZCTA spans 2 counties; nearest county centroid is 1 km away, next is 16 km (margin 15 km)"
"satterfield-park","Athens",GA,30605,"Clarke",zip_nearest_county_centroid,0.78,0.9503,"ZCTA spans 2 counties; nearest county centroid is 1 km away, next is 15 km (margin 14 km)"
"southeast-clarke-park","Athens",GA,30605,"Clarke",zip_nearest_county_centroid,0.78,0.9503,"ZCTA spans 2 counties; nearest county centroid is 6 km away, next is 16 km (margin 10 km)"
"athletic-club-northeast","Atlanta",GA,30324,"Fulton",zip_nearest_county_centroid,0.6,0.7546,"ZCTA spans 2 counties; nearest county centroid is 11 km away, next is 13 km (margin 1 km)"
"atlanta-pickleball-center","Atlanta",GA,,"",none,0,,"no postal_code"
"bessie-branham-recreation-center","Atlanta",GA,30317,"DeKalb",zip_nearest_county_centroid,0.6,0.9978,"ZCTA spans 2 counties; nearest county centroid is 9 km away, next is 14 km (margin 5 km)"
"briarwood-park","Atlanta",GA,30319,"DeKalb",zip_nearest_county_centroid,0.6,0.8577,"ZCTA spans 2 counties; nearest county centroid is 13 km away, next is 14 km (margin 2 km)"
"brownwood-park","Atlanta",GA,30316,"DeKalb",zip_nearest_county_centroid,0.6,0.8425,"ZCTA spans 2 counties; nearest county centroid is 12 km away, next is 13 km (margin 1 km)"
"chosewood-park","Atlanta",GA,30315,"Fulton",zip_nearest_county_centroid,0.6,0.9948,"ZCTA spans 2 counties; nearest county centroid is 12 km away, next is 15 km (margin 3 km)"
"coan-park","Atlanta",GA,30317,"DeKalb",zip_nearest_county_centroid,0.6,0.9978,"ZCTA spans 2 counties; nearest county centroid is 10 km away, next is 13 km (margin 2 km)"
"cowart-family-ymca","Atlanta",GA,30319,"DeKalb",zip_nearest_county_centroid,0.6,0.8577,"ZCTA spans 2 counties; nearest county centroid is 17 km away, next is 17 km (margin 0 km)"
"crush-yard-atlanta-f10036","Atlanta",GA,30306,"Fulton",zip_nearest_county_centroid,0.6,0.5847,"ZCTA spans 2 counties; nearest county centroid is 10 km away, next is 13 km (margin 3 km)"
"dill-dinkers-atlanta-f30007","Atlanta",GA,,"",none,0,,"no postal_code"
"east-lake-family-ymca","Atlanta",GA,30317,"DeKalb",zip_nearest_county_centroid,0.6,0.9978,"ZCTA spans 2 counties; nearest county centroid is 9 km away, next is 15 km (margin 6 km)"
"east-lake-park-atlanta","Atlanta",GA,,"",none,0,,"no postal_code"
"goldsboro-park","Atlanta",GA,30307,"DeKalb",zip_nearest_county_centroid,0.6,0.822,"ZCTA spans 2 counties; nearest county centroid is 11 km away, next is 12 km (margin 1 km)"
"grant-park-atlanta","Atlanta",GA,30315,"Fulton",zip_nearest_county_centroid,0.6,0.9948,"ZCTA spans 2 counties; nearest county centroid is 11 km away, next is 14 km (margin 3 km)"
"haygood-memorial-members-only","Atlanta",GA,30306,"Fulton",zip_nearest_county_centroid,0.6,0.5847,"ZCTA spans 2 counties; nearest county centroid is 11 km away, next is 12 km (margin 2 km)"
"ita-atlanta","Atlanta",GA,30340,"DeKalb",zip_nearest_county_centroid,0.78,0.8093,"ZCTA spans 2 counties; nearest county centroid is 13 km away, next is 23 km (margin 10 km)"
"jrose-courts","Atlanta",GA,30307,"Fulton",zip_nearest_county_centroid,0.6,0.178,"ZCTA spans 2 counties; nearest county centroid is 8 km away, next is 15 km (margin 7 km) — OVERRODE the larger-by-land-area candidate"
"lang-carson-park-reynoldstown","Atlanta",GA,30316,"Fulton",zip_nearest_county_centroid,0.6,0.1575,"ZCTA spans 2 counties; nearest county centroid is 11 km away, next is 12 km (margin 1 km) — OVERRODE the larger-by-land-area candidate"
"maddox-park-atlanta","Atlanta",GA,,"",none,0,,"no postal_code"
"mcclatchey-park","Atlanta",GA,30315,"Fulton",zip_nearest_county_centroid,0.6,0.9948,"ZCTA spans 2 counties; nearest county centroid is 9 km away, next is 14 km (margin 5 km)"
"murphey-candler-park","Atlanta",GA,30319,"DeKalb",zip_nearest_county_centroid,0.6,0.8577,"ZCTA spans 2 counties; nearest county centroid is 18 km away, next is 19 km (margin 1 km)"
"painted-pickle","Atlanta",GA,30324,"Fulton",zip_dominant_county,0.75,0.7546,"ZCTA spans 2 counties; dominant county holds 75.5% of land area (no coordinates to disambiguate)"
"pickleball-club-of-georgia","Atlanta",GA,,"",none,0,,"no postal_code"
