city_key,wanted_slug,slug,name,street_address,total_courts,latitude,longitude,km_apart
IL/o-fallon/o-fallon-il-ymca,o-fallon-il-ymca,o-fallon-il-ymca,"O'Fallon,IL YMCA",284 N. Seven Hills Rd,3,38.5961393,-89.8914707,0.000
IL/o-fallon/o-fallon-il-ymca,o-fallon-il-ymca,o-fallon-il-ymca,"O'Fallon,IL YMCA",284 N. Seven Hills Rd,3,38.5961393,-89.8914707,0.000
IL/rockford/sinnissippi-park,sinnissippi-park,sinnissippi-park,Sinnissippi Park,1401 N 2nd St.,6,42.282214,-89.0695582,2.341
IL/rockford/sinnissippi-park,sinnissippi-park,sinnissippi-park-1751,Sinnissippi Park,1401 North Second Street,6,42.2713945,-89.093966,2.341
IL/springfield/springfield-ymca,springfield-ymca,springfield-ymca,Springfield YMCA,604 North 4th,3,39.8075471,-89.6504353,1.415
IL/springfield/springfield-ymca,springfield-ymca,springfield-ymca-7111,Springfield YMCA,701 S. 4th St.,3,39.794828,-89.650992,1.415
KY/bronston/woodson-bend-resort,woodson-bend-resort,woodson-bend-resort,Woodson Bend Resort,900 Coyler Rd,6,36.9856324,-84.6229965,3.890
KY/bronston/woodson-bend-resort,woodson-bend-resort,woodson-bend-resort-11331,Woodson Bend Resort,900 Colyer Road,6,36.9532382,-84.606461,3.890
MA/athol/fish-park,fish-park,fish-park,Fish Park,Maple St,2,42.5950845,-72.2369945,0.842
MA/athol/fish-park,fish-park,fish-park-1997,Fish Park,"Maple Street , Walnut Street",2,42.594001,-72.2268141,0.842
MA/belmont/belmont-town-field,belmont-town-field,belmont-town-field,Belmont Town Field,160 Waverley Street,4,42.3897561,-71.1821672,0.744
MA/belmont/belmont-town-field,belmont-town-field,belmont-town-field-2006,Belmont Town Field,160 Waverly Street,4,42.3959296,-71.1786655,0.744
MA/franklin/king-street-memorial-park,king-street-memorial-park,king-street-memorial-park,King Street Memorial Park,King St.,4,42.0648662,-71.4010891,0.857
MA/franklin/king-street-memorial-park,king-street-memorial-park,king-street-memorial-park-7653,King Street Memorial Park,740 King Street,2,42.0605538,-71.4096946,0.857
MA/lancaster/lancaster-community-center-gym,lancaster-community-center-gym,lancaster-community-center-gym,Lancaster Community Center Gym,39 Harvard road,1,42.4555265,-71.6719354,1.759
MA/lancaster/lancaster-community-center-gym,lancaster-community-center-gym,lancaster-community-center-gym-2040,Lancaster Community Center Gym,"695 Main St. , Harvard",1,42.4431437,-71.6852823,1.759
MA/leominster/doyle-field,doyle-field,doyle-field,Doyle Field,Priest st,6,42.5379244,-71.7549521,1.354
MA/leominster/doyle-field,doyle-field,doyle-field-2041,Doyle Field,"200 Priest Street , North Main St.",6,42.5267443,-71.7614891,1.354
MA/medfield/kingsbury-club-medfield,kingsbury-club-medfield,kingsbury-club-medfield,Kingsbury Club Medfield,2 Icehouse Road,8,42.1865609,-71.30546,2.522
MA/medfield/kingsbury-club-medfield,kingsbury-club-medfield,kingsbury-club-medfield-8761,Kingsbury Club Medfield,2 Ice House Rd,8,42.2007135,-71.3293754,2.522
MD/lusby/cove-point-park,cove-point-park,cove-point-park,Cove Point Park,"11135 Ruths Ln, Lusby, MD 20657",6,38.3821066,-76.4202801,0.601
MD/lusby/cove-point-park,cove-point-park,cove-point-park-6387,Cove Point Park,750 Cove Point Road,2,38.385891,-76.4252067,0.601
MD/prince-frederick/hallowing-point-park,hallowing-point-park,hallowing-point-park,Hallowing Point Park,4755 Hallowing Point Road,4,38.5118757,-76.6302491,5.171
MD/prince-frederick/hallowing-point-park,hallowing-point-park,hallowing-point-park-13876,Hallowing Point Park,4755 Halloween Point Park,,38.5406075,-76.5835129,5.171
MI/lake-odessa/lake-odessa-picklebowl,lake-odessa-picklebowl,lake-odessa-picklebowl,Lake Odessa Picklebowl,S Fairgrounds,8,42.7897655,-85.1358066,0.594
MI/lake-odessa/lake-odessa-picklebowl,lake-odessa-picklebowl,lake-odessa-picklebowl-5312,Lake Odessa PickleBowl,Fairgrounds Street,8,42.7847564,-85.1383367,0.594
MI/niles/plym-park,plym-park,plym-park,Plym park,z,10,41.8297694,-86.2541768,1.299
MI/niles/plym-park,plym-park,plym-park-13100,Plym Park,401 Marmont St,10,41.8413171,-86.2565754,1.299
MI/petoskey/petoskey-high-school-tennis-courts,petoskey-high-school-tennis-courts,petoskey-high-school-tennis-courts,Petoskey High School tennis courts,Hill St & Northmen Dr,5,45.373343,-84.95533,1.213
MI/petoskey/petoskey-high-school-tennis-courts,petoskey-high-school-tennis-courts,petoskey-high-school-tennis-courts-2439,Petoskey High School - Tennis Courts,1503 Hill Street,4,45.372054,-84.9399043,1.213
MN/otsego/prairie-park,prairie-park,prairie-park,Prairie Park,13400 90th St NE,4,45.2812733,-93.614857,4.327
MN/otsego/prairie-park,prairie-park,prairie-park-9999,Prairie Park,13355 90th St. NE,4,45.2819963,-93.5595568,4.327
MN/rochester/cooke-park,cooke-park,cooke-park,Cooke Park,7th St NW,6,44.0304439,-92.4664877,0.503
MN/rochester/cooke-park,cooke-park,cooke-park-10959,Cooke Park,722 7th St NW,6,44.0307282,-92.4727624,0.503
MN/sartell/val-smith-park,val-smith-park,val-smith-park,Val Smith Park,1st Street NE,6,45.6171864,-94.190538,1.368
MN/sartell/val-smith-park,val-smith-park,val-smith-park-5528,Val Smith Park,"425 1st Street Ne , Park Ave",6,45.6216319,-94.2069365,1.368
