city_key,wanted_slug,slug,name,street_address,total_courts,latitude,longitude,km_apart
GA/dallas/mt-tabor-park,mt-tabor-park,mt-tabor-park,Mt.Tabor Park,Mt Tabor Park,6,33.9432736,-84.7722271,6.687
GA/dallas/mt-tabor-park,mt-tabor-park,mt-tabor-park-1364,Mt. Tabor Park,"1550 E. Paulding Drive , Mt. Tabor Church Road",6,33.9237141,-84.8407732,6.687
GA/douglasville/boundary-waters-activity-center,boundary-waters-activity-center,boundary-waters-activity-center,Boundary Waters Activity Center,5000 Ga 92 / 166,2,33.7639936,-84.7216512,1.541
GA/douglasville/boundary-waters-activity-center,boundary-waters-activity-center,boundary-waters-activity-center-12896,Boundary Waters Activity Center,4996 Hwy 92,,33.7572772,-84.7362377,1.541
GA/douglasville/woodie-fite-senior-center,woodie-fite-senior-center,woodie-fite-senior-center,Woodie Fite Senior Center,8750 Dorris Road,2,33.7390072,-84.7290153,2.218
GA/douglasville/woodie-fite-senior-center,woodie-fite-senior-center,woodie-fite-senior-center-6391,Woodie Fite Senior Center,"1000 Simeon Springer Ct, 8750 Dorris Rd,",2,33.7514966,-84.7477136,2.218
HI/hale-iwa/hale-iwa-beach-park,hale-iwa-beach-park,hale-iwa-beach-park,Hale?iwa Beach Park,62-449 Kamehameha Hwy.,2,21.5770308,-158.1168602,0.000
HI/hale-iwa/hale-iwa-beach-park,hale-iwa-beach-park,hale-iwa-beach-park,Hale?iwa Beach Park,62-449 Kamehameha Hwy.,2,21.5770308,-158.1168602,0.000
HI/hale-iwa/sunset-beach-neighborhood-park,sunset-beach-neighborhood-park,sunset-beach-neighborhood-park,Sunset Beach Neighborhood Park,59-104 Kamehameha Hwy.,1,21.5770308,-158.1168602,0.000
HI/hale-iwa/sunset-beach-neighborhood-park,sunset-beach-neighborhood-park,sunset-beach-neighborhood-park,Sunset Beach Neighborhood Park,59-104 Kamehameha Hwy.,1,21.5770308,-158.1168602,0.000
HI/hau-ula/hau-ula-community-park,hau-ula-community-park,hau-ula-community-park,Hau?ula Community Park,54-050 Kamehameha Hwy.,1,21.6055532,-157.9036798,0.000
HI/hau-ula/hau-ula-community-park,hau-ula-community-park,hau-ula-community-park,Hau?ula Community Park,54-050 Kamehameha Hwy.,1,21.6055532,-157.9036798,0.000
HI/k-ne-ohe/kapunahala-neighborhood-park,kapunahala-neighborhood-park,kapunahala-neighborhood-park,Kapunahala Neighborhood Park,45-800 Anoi Rd.,2,21.4627778,-157.810277,0.000
HI/k-ne-ohe/kapunahala-neighborhood-park,kapunahala-neighborhood-park,kapunahala-neighborhood-park,Kapunahala Neighborhood Park,45-800 Anoi Rd.,2,21.4627778,-157.810277,0.000
HI/k-ne-ohe/laenani-neighborhood-park,laenani-neighborhood-park,laenani-neighborhood-park,Laenani Neighborhood Park,47-053 Laenani Dr.,1,21.4627778,-157.810277,0.000
HI/k-ne-ohe/laenani-neighborhood-park,laenani-neighborhood-park,laenani-neighborhood-park,Laenani Neighborhood Park,47-053 Laenani Dr.,1,21.4627778,-157.810277,0.000
